<s>;START;19;19--9;DATAN
number;CS;;;
of;I;;;
users;CA;;;
within;I;;;
the;I;;;
black;I;;;
list;I;;;
</s>;END;;;
<s>;START;22;22--1;DATAF
The;CS;;;
number;I;;;
of;I;;;
products;CA;;;
released;I;;;
without;I;;;
proper;I;;;
documentation;I;;;
as;FDV;;;
a;I;;;
percent;I;;;
of;I;;;
total;FDE;;;
products;I;;;
released;I;;;
</s>;END;;;
<s>;START;22;22--5;DATAF
The;FS;;;
percentage;I;;;
of;I;;;
time;FNU;;;
that;I;;;
a;I;;;
plant;I;;;
achieves;I;;;
its;I;;;
production;I;;;
schedule.;I;;;
</s>;END;;;
<s>;START;22;22--8;DATAF
number;CS;;;
of;I;;;
errors;CA;;;
in;I;;;
waste;I;;;
transactions;I;;;
as;FDV;;;
a;I;;;
percent;I;;;
of;I;;;
total;FDE;;;
waste;I;;;
transactions;I;;;
</s>;END;;;
<s>;START;22;22--11;DATAF
weight;FNU;;;
of;I;;;
packaging;I;;;
material;I;;;
that;I;;;
is;I;;;
not;I;;;
needed;I;;;
to;I;;;
protect;I;;;
the;I;;;
product;I;;;
during;I;;;
shipping;I;;;
as;FDV;;;
a;I;;;
percentage;I;;;
of;I;;;
total;FDE;;;
packaging;I;;;
material;I;;;
used.;I;;;
</s>;END;;;
<s>;START;22;22--14;DATAF
Weight;FNU;;;
of;I;;;
recycled;I;;;
packaging;I;;;
material;I;;;
as;FDV;;;
a;I;;;
percentage;I;;;
of;I;;;
total;FDE;;;
packaging;I;;;
material;I;;;
used;I;;;
</s>;END;;;
<s>;START;22;22--15;DATAF
Weight;FNU;;;
of;I;;;
biodegradable;I;;;
packaging;I;;;
material;I;;;
as;FDV;;;
a;I;;;
percentage;I;;;
of;I;;;
total;FDE;;;
packaging;I;;;
material;I;;;
used;I;;;
</s>;END;;;
<s>;START;22;22--16;DATAF
Weight;FNU;;;
of;I;;;
packaging;I;;;
material;I;;;
that;I;;;
can;I;;;
be;I;;;
effectively;I;;;
recycled;I;;;
as;FDV;;;
a;I;;;
percentage;I;;;
of;I;;;
total;FDE;;;
packaging;I;;;
material;I;;;
used;I;;;
</s>;END;;;
<s>;START;22;22--17;DATAF
The;FNU;;;
weight;I;;;
of;I;;;
air;I;;;
pollutant;I;;;
emitted;I;;;
per;FDV;;;
weight;FDE;;;
of;I;;;
finished;I;;;
good;I;;;
produced;I;;;
</s>;END;;;
<s>;START;22;22--18;DATAN
The;SC;;;
sum;I;;;
of;I;;;
the;CS;;;
costs;I;;;
associated;I;;;
with;I;;;
issuing;CA;;;
material;I;;;
</s>;END;;;
<s>;START;22;22--19;DATAN
The;SC;;;
sum;I;;;
of;I;;;
the;CS;;;
costs;I;;;
associated;I;;;
with;I;;;
product;CA;;;
packaging;I;;;
